IDX	SOURCE	TOPDIR	BYTES	LINES	H2	CODE	RELPATH	TITLE
54	vault	ActiveDirectory	2499	68	5	2	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #64 — Golden Ticket Persistence.md	🟤 Attack #64 — Golden Ticket Persistence
55	vault	ActiveDirectory	2881	72	5	3	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #65 — ACL Backdooring (Persistence via DCSync ACE).md	🟤 Attack #65 — ACL Backdooring (Persistence via DCSync ACE)
56	vault	ActiveDirectory	3112	73	5	3	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #66 — Malicious GPO Creation.md	🟤 Attack #66 — Malicious GPO Creation
57	vault	ActiveDirectory	2922	73	5	3	ActiveDirectory/AD-Attack/Category-Eight/🟤 Attack #67 — ADCS Certificate-Based Persistence.md	🟤 Attack #67 — ADCS Certificate-Based Persistence
58	vault	ActiveDirectory	42345	726	13	22	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #37 — DCSync Attack.md	🔵 Attack #37 — DCSync Attack
59	vault	ActiveDirectory	25501	408	12	9	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #38 — DCShadow Attack.md	🔵 Attack #38 — DCShadow Attack
60	vault	ActiveDirectory	26964	448	12	15	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #39 — NTDS.dit Extraction and Dumping.md	🔵 Attack #39 — NTDS.dit Extraction & Dumping
61	vault	ActiveDirectory	21999	371	12	9	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #40 — Zerologon (CVE-2020-1472).md	🔵 Attack #40 — Zerologon (CVE-2020-1472)
62	vault	ActiveDirectory	22224	396	12	8	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #41 — PetitPotam (CVE-2021-36942).md	🔵 Attack #41 — PetitPotam (CVE-2021-36942) — NTLM Coercion
63	vault	ActiveDirectory	21754	380	12	13	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #42 — PrinterBug SpoolSample.md	🔵 Attack #42 — PrinterBug / SpoolSample — Print Spooler Coercion
64	vault	ActiveDirectory	22175	381	12	10	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #43 — PrintNightmare (CVE-2021-34527).md	🔵 Attack #43 — PrintNightmare (CVE-2021-34527)
65	vault	ActiveDirectory	24537	414	12	10	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack #44 — noPAC Sam-the-Admin (CVE-2021-42278 42287).md	🔵 Attack #44 — noPAC / Sam-the-Admin (CVE-2021-42278/42287)
66	vault	ActiveDirectory	0	1	0	0	ActiveDirectory/AD-Attack/Category-Five/🔵 Attack.md	🔵 Attack
67	vault	ActiveDirectory	16456	319	7	10	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #27 — ESC1 SAN Specification in Template.md	🟢 Attack #27 — ESC1: SAN Specification in Certificate Template
68	vault	ActiveDirectory	3933	101	6	5	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #28 — ESC2 Any Purpose EKU No EKU.md	🟢 Attack #28 — ESC2: Any Purpose EKU / No EKU
69	vault	ActiveDirectory	3221	78	5	4	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #29 — ESC3 Certificate Request Agent.md	🟢 Attack #29 — ESC3: Certificate Request Agent
70	vault	ActiveDirectory	4364	111	5	6	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #30 — ESC4 Template Write Permissions.md	🟢 Attack #30 — ESC4: Template Write Permissions
71	vault	ActiveDirectory	3326	84	6	5	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #31 — ESC6 EDITF_ATTRIBUTESUBJECTALTNAME2 Flag.md	🟢 Attack #31 — ESC6: EDITF_ATTRIBUTESUBJECTALTNAME2 Flag
72	vault	ActiveDirectory	4291	111	5	4	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #32 — ESC7 Vulnerable CA Officer Permissions.md	🟢 Attack #32 — ESC7: Vulnerable CA Officer Permissions
73	vault	ActiveDirectory	4975	126	7	4	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #33 — ESC8 NTLM Relay to ADCS HTTP Endpoint.md	🟢 Attack #33 — ESC8: NTLM Relay to ADCS HTTP Endpoint
74	vault	ActiveDirectory	2844	71	5	3	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #34 — ESC11 NTLM Relay to ADCS RPC.md	🟢 Attack #34 — ESC11: NTLM Relay to ADCS RPC
75	vault	ActiveDirectory	5210	126	7	5	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #35 — Golden Certificate Attack.md	🟢 Attack #35 — Golden Certificate Attack
76	vault	ActiveDirectory	3833	93	5	3	ActiveDirectory/AD-Attack/Category-Four/🟢 Attack #36 — Certifried (CVE-2022-26923).md	🟢 Attack #36 — Certificate Persistence (Certifried / CVE-2022-26923)
77	vault	ActiveDirectory	3361	81	5	3	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #68 — Cross-Domain Trust Abuse (SID History).md	🔶 Attack #68 — Cross-Domain Trust Abuse (SID History)
78	vault	ActiveDirectory	3318	78	5	3	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #69 — Forest Trust Abuse Cross-Forest Ticket Forging.md	🔶 Attack #69 — Forest Trust Abuse / Cross-Forest Ticket Forging
79	vault	ActiveDirectory	2430	61	5	2	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #70 — ADCS Cross-Domain Enrollment.md	🔶 Attack #70 — ADCS Cross-Domain Enrollment
80	vault	ActiveDirectory	2861	70	5	2	ActiveDirectory/AD-Attack/Category-Nine/🔶 Attack #71 — PAM Trust Abuse (Bastion Forest).md	🔶 Attack #71 — PAM Trust Abuse (Bastion Forest)
81	vault	ActiveDirectory	25318	397	9	10	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #1 — Password Spraying.md	🔴 Attack #1 — Password Spraying
82	vault	ActiveDirectory	34773	610	9	18	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #10 — Credential Hunting in Shares  GPP Passwords.md	🔴 Attack #10 — Credential Hunting in Shares / GPP Passwords
83	vault	ActiveDirectory	25641	430	9	10	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #2 — Kerberoasting.md	🔴 Attack #2 — Kerberoasting
84	vault	ActiveDirectory	21874	410	9	13	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #3 — AS-REP Roasting.md	🔴 Attack #3 — AS-REP Roasting
85	vault	ActiveDirectory	27608	458	9	13	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #4 — Pass-the-Hash (PtH).md	🔴 Attack #4 — Pass-the-Hash (PtH)
86	vault	ActiveDirectory	24968	462	10	11	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #5 — Pass-the-Ticket (PtT).md	🔴 Attack #5 — Pass-the-Ticket (PtT)
87	vault	ActiveDirectory	25099	446	10	10	ActiveDirectory/AD-Attack/Category-One/🔴 Attack #6 — Overpass-the-Hash (Pass-the-Key).md	🔴 Attack #6 — Overpass-the-Hash (Pass-the-Key)
